County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Oswego,Plant,Flowering Plants,Other Flowering Plants,Geum triflorum var. triflorum,Prairie Smoke,not available,Threatened,not listed,S2,G5T5,Possible but not Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Hypericum prolificum,Shrubby St. John's Wort,not available,Threatened,not listed,S2,G5,Historically Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Potamogeton alpinus,Red Pondweed,not available,Threatened,not listed,S1S2,G5,Historically Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Potamogeton pulcher,Spotted Pondweed,1994,Threatened,not listed,S2,G5,Recently Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Primula mistassinica,Bird's Eye Primrose,2015,Threatened,not listed,S2,G5,Recently Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Rorippa aquatica,Lake Cress,1927,Threatened,not listed,S2,G4?,Historically Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Salix cordata,Sand Dune Willow,2015,Threatened,not listed,S2,G4,Recently Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Saxifraga aizoides,Yellow Mountain Saxifrage,2015,Threatened,not listed,S2,G5,Recently Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed,not available,Threatened,not listed,S2,G5,Historically Confirmed
Oswego,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Symphyotrichum boreale,Northern Bog Aster,1997,Threatened,not listed,S2,G5,Recently Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Veronicastrum virginicum,Culver's Root,not available,Threatened,not listed,S2,G4,Historically Confirmed
Oswego,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,not available,Threatened,Threatened,S1,G1G2,Historically Confirmed
Oswego,Plant,Flowering Plants,Sedges,Carex cryptolepis,Small Yellow Sedge,not available,Rare,not listed,S3,G4,Recently Confirmed
Oswego,Plant,Flowering Plants,Sedges,Carex emmonsii,Emmons' Sedge,not available,Rare,not listed,S3,G5T5,Historically Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,not available,Rare,not listed,S3,G5,Historically Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Ceratophyllum echinatum,Prickly Hornwort,not available,Rare,not listed,S3,G4?,Historically Confirmed
